id,DRAFTID,CombineID,Year,Name,FirstName,LastName,Position,HeightInchesTotal,HeightFeet,HeightInches,Weight(LBS),ArmLength(Inches),HandsSize(Inches),FortyYardDash,TwentyYardDashSplit,TenYardDashSplit,TwentyYardShuttle,ThreeConeDrill,VerticalJump,BroadJump,BenchPressReps,DraftRound,College,PickRound,PickTotal,Wonderlic
9006,20134100,AkeemSpence20134,2013,Akeem Spence,Akeem,Spence,DT,73,6,1,307,33.5,10,5.15,,1.67,4.72,7.82,30,107,37,4,Illinois,3,100,
9007,,DamionSquare2013,2013,Damion Square,Damion,Square,DT,74,6,2,293,32.125,10.375,5.22,,,,,,,,,,,,
9008,2013394,BrandonWilliams20133,2013,Brandon Williams,Brandon,Williams,DT,73,6,1,335,32.625,9.75,5.37,,1.79,4.91,8.09,29.5,102,38,3,Missouri Southern State,32,94,
9009,20135137,JesseWilliams20135,2013,Jesse Williams,Jesse,Williams,DT,75,6,3,323,32,9.375,4.91,,,,,,,30,5,Alabama,4,137,
9010,,NickWilliams2013,2013,Nick Williams,Nick,Williams,DT,76,6,4,309,34.125,10.25,4.94,,1.63,4.65,7.55,33,111,28,,,,,
9011,2013128,SylvesterWilliams20131,2013,Sylvester Williams,Sylvester,Williams,DT,75,6,3,313,33.5,10.75,5.03,,1.72,4.8,7.93,26.5,102,27,1,North Carolina,28,28,
9012,20136192,JohnBoyett20136,2013,John Boyett,John,Boyett,FS,70,5,10,204,30.5,8.5,,,,,,,,27,6,Oregon,24,192,
9013,,JoshEvans2013,2013,Josh Evans,Josh,Evans,FS,73,6,1,207,31.875,10,4.58,,1.63,4.1,6.64,34.5,123,,,,,,
9014,,TonyJefferson2013,2013,Tony Jefferson,Tony,Jefferson,FS,71,5,11,213,31.625,9.25,4.75,,1.61,,,,,16,,,,,
9015,,BradleyMcDougald2013,2013,Bradley McDougald,Bradley,McDougald,FS,72,6,,215,32.5,9.125,4.74,,1.68,4.44,7.07,34.5,122,19,,,,,
9016,,RontezMiles2013,2013,Rontez Miles,Rontez,Miles,FS,72,6,,203,32.875,10.25,4.62,,,4.27,6.97,36.5,123,,,,,,
9017,20137244,ZekeMotta20137,2013,Zeke Motta,Zeke,Motta,FS,74,6,2,213,31.375,9.25,4.83,,1.6,4.16,6.75,35.5,126,11,7,Notre Dame,38,244,
9018,20136191,BacarriRambo20136,2013,Bacarri Rambo,Bacarri,Rambo,FS,72,6,,211,31,9.25,,,,,,,,17,6,Georgia,23,191,
9019,2013118,EricReid20131,2013,Eric Reid,Eric,Reid,FS,73,6,1,213,33.625,10,4.53,,1.47,4.22,6.99,40.5,134,17,1,LSU,18,18,
9020,20137248,DaimionStafford20137,2013,Daimion Stafford,Daimion,Stafford,FS,72,6,,221,31.125,9.25,4.69,,1.6,,7.06,30.5,111,21,7,Nebraska,42,248,
9021,2013257,D.J.Swearinger20132,2013,D.J. Swearinger,D.J.,Swearinger,FS,70,5,10,208,32.375,9.5,4.67,,1.57,4.11,6.7,37,124,17,2,South Carolina,25,57,
9022,20134119,PhillipThomas20134,2013,Phillip Thomas,Phillip,Thomas,FS,72,6,,208,30.625,9.25,4.65,,1.54,,,35,122,14,4,Fresno State,22,119,
9023,,SamBarrington2013,2013,Sam Barrington,Sam,Barrington,ILB,73,6,1,246,32.25,10.25,4.91,,1.67,,,32.5,117,22,,,,,
9024,20137235,SteveBeauharnais20137,2013,Steve Beauharnais,Steve,Beauharnais,ILB,73,6,1,240,32.75,9.125,4.84,,1.63,4.2,6.99,33,118,19,7,Rutgers,29,235,
9025,2013250,JonathanBostic20132,2013,Jonathan Bostic,Jonathan,Bostic,ILB,73,6,1,245,33,9.625,4.61,,1.58,4.24,6.99,32.5,118,22,2,Florida,18,50,
9026,20137245,BrandonHepburn20137,2013,Brandon Hepburn,Brandon,Hepburn,ILB,74,6,2,240,32.5,9,4.68,,1.63,4.55,7.4,32,124,21,7,Florida A&M,39,245,
9027,20135148,A.J.Klein20135,2013,A.J. Klein,A.J.,Klein,ILB,73,6,1,250,32.875,10.25,4.66,,1.6,,,,113,20,5,Iowa State,15,148,
9028,20137213,MichaelMauti20137,2013,Michael Mauti,Michael,Mauti,ILB,74,6,2,243,32.5,10.5,,,,,,,,28,7,Penn State,7,213,
9029,2013245,KevinMinter20132,2013,Kevin Minter,Kevin,Minter,ILB,72,6,,246,32,9.375,4.81,,1.67,,,33,119,25,2,LSU,13,45,
