id,DRAFTID,CombineID,Year,Name,FirstName,LastName,Position,HeightInchesTotal,HeightFeet,HeightInches,Weight(LBS),ArmLength(Inches),HandsSize(Inches),FortyYardDash,TwentyYardDashSplit,TenYardDashSplit,TwentyYardShuttle,ThreeConeDrill,VerticalJump,BroadJump,BenchPressReps,DraftRound,College,PickRound,PickTotal,Wonderlic
11039,20064107,GabeWatson20064,2006,Gabe Watson,Gabe,Watson,DT,76,6,4,339,,,5.27,,,4.82,,25,96,36,4,Michigan,10,107,
11040,20067226,RodriqueWright20067,2006,Rodrique Wright,Rodrique,Wright,DT,77,6,5,300,,,5.08,,,4.52,,32,110,31,7,Texas,18,226,
11041,,MattBernstein2006,2006,Matt Bernstein,Matt,Bernstein,FB,73,6,1,260,,,4.91,,,4.52,,29.5,110,22,,,,,
11042,,GilbertHarris2006,2006,Gilbert Harris,Gilbert,Harris,FB,74,6,2,235,,,4.73,,,4.39,,36,117,20,,,,,
11043,20065163,DavidKirtman20065,2006,David Kirtman,David,Kirtman,FB,73,6,1,233,,,4.76,,,4.32,,29.5,106,,5,USC,30,163,
11044,20064106,GarrettMills20064,2006,Garrett Mills,Garrett,Mills,FB,73,6,1,241,,,4.64,,,4.06,,35.5,111,23,4,Tulsa,9,106,
11045,,NaufahuTahi2006,2006,Naufahu Tahi,Naufahu,Tahi,FB,73,6,1,254,,,4.85,,,4.7,,29,101,35,,,,,
11046,20066180,LawrenceVickers20066,2006,Lawrence Vickers,Lawrence,Vickers,FB,73,6,1,245,,,4.82,,,4.64,,30.5,104,21,6,Colorado,11,180,
11047,,JahmileAddae2006,2006,Jahmile Addae,Jahmile,Addae,FS,70,5,10,214,,,4.7,,,,,38.5,122,,,,,,
11048,2006116,JasonAllen20061,2006,Jason Allen,Jason,Allen,FS,73,6,1,209,,,4.39,,,3.83,,39.5,131,17,1,Tennessee,16,16,
11049,20066207,AntoineBethea20066,2006,Antoine Bethea,Antoine,Bethea,FS,71,5,11,203,,,4.39,,,4.13,,36.5,,19,6,Howard,38,207,
11050,20065149,GregBlue20065,2006,Greg Blue,Greg,Blue,FS,74,6,2,216,,,4.57,,,,,37.5,120,16,5,Georgia,16,149,
11051,,DarrellBrooks2006,2006,Darrell Brooks,Darrell,Brooks,FS,73,6,1,198,,,4.61,,,4.38,,36.5,125,7,,,,,
11052,,MarcusDemps2006,2006,Marcus Demps,Marcus,Demps,FS,73,6,1,198,,,4.7,,,4.13,,31,117,17,,,,,
11053,20066173,ReedDoughty20066,2006,Reed Doughty,Reed,Doughty,FS,73,6,1,209,,,4.65,,,4.17,,37,121,15,6,Northern Colorado,4,173,
11054,2006248,CedricGriffin20062,2006,Cedric Griffin,Cedric,Griffin,FS,73,6,1,199,,,4.51,,,4.1,,35.5,125,17,2,Texas,16,48,
11055,20064121,NateSalley20064,2006,Nate Salley,Nate,Salley,FS,74,6,2,216,,,4.63,,,4.17,,40,123,14,4,Ohio State,24,121,
11056,20064105,KoSimpson20064,2006,Ko Simpson,Ko,Simpson,FS,73,6,1,209,,,4.45,,,4.2,,40.5,122,11,4,South Carolina,8,105,
11057,,DwayneSlay2006,2006,Dwayne Slay,Dwayne,Slay,FS,76,6,4,216,,,4.78,,,,,32.5,112,,,,,,
11058,2006383,AnthonySmith20063,2006,Anthony Smith,Anthony,Smith,FS,73,6,1,194,,,4.71,,,4.35,,41,125,18,3,Syracuse,19,83,
11059,20065138,PatWatkins20065,2006,Pat Watkins,Pat,Watkins,FS,77,6,5,211,,,4.42,,,,,41,133,14,5,Florida State,5,138,
11060,,TrentBray2006,2006,Trent Bray,Trent,Bray,ILB,73,6,1,231,,,4.9,,,4.42,,32,109,18,,,,,
11061,20065151,TimDobbins20065,2006,Tim Dobbins,Tim,Dobbins,ILB,73,6,1,246,,,4.59,,,4.39,,35.5,110,23,5,Iowa State,18,151,
11062,,SpencerHavner2006,2006,Spencer Havner,Spencer,Havner,ILB,76,6,4,242,,,4.69,,,4.09,,39,116,,,,,,
11063,2006367,AbdulHodge20063,2006,Abdul Hodge,Abdul,Hodge,ILB,73,6,1,236,,,4.76,,,4.35,,31,108,,3,Iowa,3,67,
11064,,OliverHoyte2006,2006,Oliver Hoyte,Oliver,Hoyte,ILB,75,6,3,245,,,4.93,,,4.31,,32,112,19,,,,,
11065,2006234,DQwellJackson20062,2006,DQwell Jackson,DQwell,Jackson,ILB,73,6,1,230,,,4.73,,,4.37,,37,116,19,2,Maryland,2,34,
11066,,FreddyKeiaho2006,2006,Freddy Keiaho,Freddy,Keiaho,ILB,71,5,11,224,,,4.65,,,4.12,,36,,15,,,,,
11067,20067221,TimMcGarigle20067,2006,Tim McGarigle,Tim,McGarigle,ILB,73,6,1,242,,,4.73,,,4.08,,38,118,,7,Northwestern,13,221,
11068,,KaiParham2006,2006,Kai Parham,Kai,Parham,ILB,75,6,3,256,,,4.98,,,4.36,,35,116,30,,,,,
11069,,FreddieRoach2006,2006,Freddie Roach,Freddie,Roach,ILB,74,6,2,257,,,4.93,,,4.42,,34,111,,,,,,
11070,,DaleRobinson2006,2006,Dale Robinson,Dale,Robinson,ILB,73,6,1,231,,,4.76,,,4.33,,33,108,18,,,,,
11071,2006376,AnthonySchlegel20063,2006,Anthony Schlegel,Anthony,Schlegel,ILB,73,6,1,250,,,4.88,,,4.39,,32,111,21,3,Ohio State,12,76,
11072,20064116,StephenTulloch20064,2006,Stephen Tulloch,Stephen,Tulloch,ILB,71,5,11,241,,,4.84,,,4.18,,33.5,113,27,4,North Carolina State,19,116,
11073,2006396,GerrisWilkinson20063,2006,Gerris Wilkinson,Gerris,Wilkinson,ILB,75,6,3,233,,,4.66,,,4.18,,39,122,19,3,Georgia Tech,32,96,
11074,20064110,LeonWilliams20064,2006,Leon Williams,Leon,Williams,ILB,75,6,3,245,,,4.54,,,,,,,25,4,Miami (FL),13,110,
11075,2006256,ChrisChester20062,2006,Chris Chester,Chris,Chester,OC,76,6,4,303,,,4.83,,,4.51,,31.5,106,27,2,Oklahoma,24,56,
11076,,MikeDegory2006,2006,Mike Degory,Mike,Degory,OC,78,6,6,305,,,5.42,,,4.71,,26,98,24,,,,,
11077,20066198,GregEslinger20066,2006,Greg Eslinger,Greg,Eslinger,OC,75,6,3,292,,,5.13,,,4.69,,30,101,28,6,Minnesota,29,198,
11078,2006129,NickMangold20061,2006,Nick Mangold,Nick,Mangold,OC,76,6,4,300,,,5.05,,,4.4,,27.5,104,24,1,Ohio State,29,29,
11079,20067234,WillMontgomery20067,2006,Will Montgomery,Will,Montgomery,OC,75,6,3,312,,,5.12,,,4.43,,29.5,104,35,7,Virginia Tech,26,234,
11080,20066201,MarvinPhilip20066,2006,Marvin Philip,Marvin,Philip,OC,73,6,1,307,,,5.24,,,4.7,,27,96,27,6,California,32,201,
11081,,DonovanRaiola2006,2006,Donovan Raiola,Donovan,Raiola,OC,74,6,2,300,,,5.55,,,5.02,,25,90,20,,,,,
11082,,PatRoss2006,2006,Pat Ross,Pat,Ross,OC,76,6,4,301,,,4.99,,,,,,,23,,,,,
11083,2006499,MaxJean-Gilles20064,2006,Max Jean-Gilles,Max,Jean-Gilles,OG,76,6,4,355,,,5.48,,,5.08,,24.5,95,27,4,Georgia,2,99,
11084,2006123,DavinJoseph20061,2006,Davin Joseph,Davin,Joseph,OG,75,6,3,311,,,5.09,,,5.02,,32,111,24,1,Oklahoma,23,23,
11085,20065161,ChrisKuper20065,2006,Chris Kuper,Chris,Kuper,OG,77,6,5,301,,,5.1,,,4.62,,30,109,24,5,North Dakota,28,161,
11086,,TaitusiLutui2006,2006,Taitusi Lutui,Taitusi,Lutui,OG,76,6,4,334,,,5.45,,,4.83,,28,97,26,,,,,
11087,20067217,FredMatua20067,2006,Fred Matua,Fred,Matua,OG,75,6,3,306,,,5.04,,,4.79,,24.5,,28,7,USC,9,217,
11088,,RobMeadow2006,2006,Rob Meadow,Rob,Meadow,OG,77,6,5,324,,,5.4,,,4.76,,24,99,29,,,,,
11089,,TroyReddick2006,2006,Troy Reddick,Troy,Reddick,OG,77,6,5,334,,,5.57,,,4.86,,,,21,,,,,
11090,20067242,MarkSetterstrom20067,2006,Mark Setterstrom,Mark,Setterstrom,OG,76,6,4,314,,,5.38,,,4.56,,26.5,100,19,7,Minnesota,34,242,
11091,20064112,IsaacSowells20064,2006,Isaac Sowells,Isaac,Sowells,OG,76,6,4,324,,,5.15,,,5.02,,28.5,101,20,4,Indiana,15,112,
11092,2006365,CharlesSpencer20063,2006,Charles Spencer,Charles,Spencer,OG,77,6,5,352,,,5.25,,,,,,,30,3,Pittsburgh,1,65,
11093,2006375,JasonSpitz20063,2006,Jason Spitz,Jason,Spitz,OG,76,6,4,313,,,5.4,,,4.56,,28.5,102,25,3,Louisville,11,75,
11094,20066205,DanStevenson20066,2006,Dan Stevenson,Dan,Stevenson,OG,77,6,5,300,,,5.36,,,4.6,,24.5,100,24,6,Notre Dame,36,205,
11095,,TonyTella2006,2006,Tony Tella,Tony,Tella,OG,76,6,4,307,,,5.2,,,4.84,,24.5,,24,,,,,
11096,2006377,JonAlston20063,2006,Jon Alston,Jon,Alston,OLB,73,6,1,223,,,4.5,,,4.13,,40,132,30,3,Stanford,13,77,
11097,2006388,JamesAnderson20063,2006,James Anderson,James,Anderson,OLB,75,6,3,229,,,4.59,,,4.08,,41,121,,3,Virginia Tech,24,88,
11098,20066178,KeithEllison20066,2006,Keith Ellison,Keith,Ellison,OLB,74,6,2,235,,,4.76,,,4.16,,32.5,115,24,6,Oregon State,9,178,
11099,20065168,OmarGaither20065,2006,Omar Gaither,Omar,Gaither,OLB,73,6,1,234,,,4.78,,,4.32,,37,115,23,5,Tennessee,35,168,
11100,2006117,ChadGreenway20061,2006,Chad Greenway,Chad,Greenway,OLB,75,6,3,242,,,4.76,,,4.22,,33.5,117,16,1,Iowa,17,17,
11101,200615,A.J.Hawk20061,2006,A.J. Hawk,A.J.,Hawk,OLB,73,6,1,248,,,4.59,,,3.96,,40,115,24,1,Ohio State,5,5,
11102,2006238,ThomasHoward20062,2006,Thomas Howard,Thomas,Howard,OLB,75,6,3,239,,,4.42,,,4.29,,39,124,21,2,UTEP,6,38,
11103,2006380,ClintIngram20063,2006,Clint Ingram,Clint,Ingram,OLB,74,6,2,244,,,4.65,,,4.11,,41,,22,3,Oklahoma,16,80,
11104,20065142,BrandonJohnson20065,2006,Brandon Johnson,Brandon,Johnson,OLB,77,6,5,228,,,4.44,,,4.34,,37,118,11,5,Louisville,9,142,
11105,,CharltonKeith2006,2006,Charlton Keith,Charlton,Keith,OLB,77,6,5,237,,,4.78,,,4.42,,30.5,109,12,,,,,
11106,,WilliamKershaw2006,2006,William Kershaw,William,Kershaw,OLB,75,6,3,240,,,4.63,,,4.2,,37,111,21,,,,,
11107,2006122,MannyLawson20061,2006,Manny Lawson,Manny,Lawson,OLB,78,6,6,241,,,4.43,,,4.21,,39.5,124,23,1,North Carolina State,22,22,
11108,,RogerMcIntosh2006,2006,Roger McIntosh,Roger,McIntosh,OLB,74,6,2,237,,,4.63,,,,,41.5,119,18,,,,,
11109,20065137,TernaNande20065,2006,Terna Nande,Terna,Nande,OLB,73,6,1,232,,,4.51,,,4.12,,39,124,41,5,Miami (OH),4,137,
11110,20065157,A.J.Nicholson20065,2006,A.J. Nicholson,A.J.,Nicholson,OLB,73,6,1,252,,,4.88,,,4.46,,,116,25,5,Florida State,24,157,
11111,2006233,DeMecoRyans20062,2006,DeMeco Ryans,DeMeco,Ryans,OLB,73,6,1,236,,,4.65,,,4.18,,39,129,23,2,Alabama,1,33,
11112,20067250,KevinSimon20067,2006,Kevin Simon,Kevin,Simon,OLB,70,5,10,235,,,4.89,,,4.34,,28,103,26,7,Tennessee,42,250,
11113,200619,ErnieSims20061,2006,Ernie Sims,Ernie,Sims,OLB,71,5,11,231,,,4.5,,,4.23,,41,125,25,1,Florida State,9,9,
11114,,AnthonyTrucks2006,2006,Anthony Trucks,Anthony,Trucks,OLB,73,6,1,233,,,4.76,,,4.21,,37,125,22,,,,,
11115,,CameronVaughn2006,2006,Cameron Vaughn,Cameron,Vaughn,OLB,76,6,4,235,,,4.65,,,4.23,,32,117,17,,,,,
11116,20064120,JamarWilliams20064,2006,Jamar Williams,Jamar,Williams,OLB,73,6,1,236,,,4.59,,,4.29,,37,120,,4,Arizona State,23,120,
11117,20066176,KevinBoothe20066,2006,Kevin Boothe,Kevin,Boothe,OT,77,6,5,316,,,5.41,,,5.07,,31.5,98,23,6,Cornell,7,176,
11118,2006389,RashadButler20063,2006,Rashad Butler,Rashad,Butler,OT,77,6,5,293,,,5.32,,,4.55,,28,,16,3,Miami (FL),25,89,
11119,20066187,JeromeyClary20066,2006,Jeromey Clary,Jeromey,Clary,OT,78,6,6,309,,,5.28,,,4.66,,26,102,24,6,Kansas State,18,187,
11120,2006247,DarynColledge20062,2006,Daryn Colledge,Daryn,Colledge,OT,77,6,5,299,,,5.05,,,4.6,,32.5,110,21,2,Boise State,15,47,
11121,2006251,RyanCook20062,2006,Ryan Cook,Ryan,Cook,OT,79,6,7,328,,,5.47,,,4.67,,26.5,97,28,2,New Mexico,19,51,
11122,,JhariEvans2006,2006,Jhari Evans,Jhari,Evans,OT,77,6,5,316,,,5.25,,,4.88,,27,95,20,,,,,
11123,20067227,JimmyMartin20067,2006,Jimmy Martin,Jimmy,Martin,OT,77,6,5,303,,,5.23,,,,,31,101,25,7,Virginia Tech,19,227,
11124,2006250,MarcusMcNeill20062,2006,Marcus McNeill,Marcus,McNeill,OT,80,6,8,336,,,5.07,,,5.04,,31,98,,2,Auburn,18,50,
11125,2006369,PaulMcQuistan20063,2006,Paul McQuistan,Paul,McQuistan,OT,78,6,6,312,,,5.07,,,4.65,,29.5,110,28,3,Weber State,5,69,
11126,20065136,RyanOCallaghan20065,2006,Ryan OCallaghan,Ryan,OCallaghan,OT,79,6,7,344,,,5.39,,,,,25,92,21,5,California,3,136,
11127,20065139,QuinnOjinnaka20065,2006,Quinn Ojinnaka,Quinn,Ojinnaka,OT,77,6,5,309,,,5.44,,,5.12,,28.5,102,21,5,Syracuse,6,139,
11128,20067216,TerrancePennington20067,2006,Terrance Pennington,Terrance,Pennington,OT,79,6,7,325,,,5.39,,,,,28.5,102,28,7,New Mexico,8,216,
11129,,DennisRoland2006,2006,Dennis Roland,Dennis,Roland,OT,82,6,10,328,,,5.28,,,,,,,19,,,,,
11130,20065141,JonathanScott20065,2006,Jonathan Scott,Jonathan,Scott,OT,79,6,7,315,,,5.32,,,4.87,,24.5,101,,5,Texas,8,141,
11131,20067210,ZachStrief20067,2006,Zach Strief,Zach,Strief,OT,80,6,8,330,,,5.38,,,4.85,,21,94,19,7,Northwestern,2,210,
11132,20064114,JoeToledo20064,2006,Joe Toledo,Joe,Toledo,OT,78,6,6,337,,,5.11,,,,,,,32,4,Washington,17,114,
11133,20065162,MichaelToudouze20065,2006,Michael Toudouze,Michael,Toudouze,OT,78,6,6,303,,,5.12,,,4.71,,26.5,100,23,5,TCU,29,162,
11134,2006259,JeremyTrueblood20062,2006,Jeremy Trueblood,Jeremy,Trueblood,OT,80,6,8,316,,,5.25,,,4.71,,27.5,96,20,2,Boston College,27,59,
11135,,StefonWheeler2006,2006,Stefon Wheeler,Stefon,Wheeler,OT,77,6,5,339,,,5.73,,,4.87,,19.5,74,,,,,,
11136,20064129,GuyWhimper20064,2006,Guy Whimper,Guy,Whimper,OT,77,6,5,304,,,4.96,,,4.61,,29,102,26,4,East Carolina,32,129,
11137,20067224,E.J.Whitley20067,2006,E.J. Whitley,E.J.,Whitley,OT,77,6,5,309,,,5.35,,,4.8,,25,101,16,7,Texas Tech,16,224,
11138,2006255,AndrewWhitworth20062,2006,Andrew Whitworth,Andrew,Whitworth,OT,79,6,7,334,,,5.16,,,4.84,,30.5,112,28,2,LSU,23,55,
11139,2006366,EricWinston20063,2006,Eric Winston,Eric,Winston,OT,79,6,7,310,,,4.94,,,4.49,,29,108,,3,Miami (FL),2,66,
11140,,BrettBasanez2006,2006,Brett Basanez,Brett,Basanez,QB,73,6,1,220,,,4.76,,,4.23,,34,114,,,,,,
11141,2006249,KellenClemens20062,2006,Kellen Clemens,Kellen,Clemens,QB,74,6,2,224,,,4.89,,,,,,,,2,Oregon,17,49,35
11142,2006385,BrodieCroyle20063,2006,Brodie Croyle,Brodie,Croyle,QB,75,6,3,205,,,4.88,,,4.26,,30.5,104,,3,Alabama,21,85,24
11143,2006111,JayCutler20061,2006,Jay Cutler,Jay,Cutler,QB,75,6,3,226,,,4.77,,,4.31,,,,,1,Vanderbilt,11,11,26
11144,,BruceEugene2006,2006,Bruce Eugene,Bruce,Eugene,QB,73,6,1,260,,,5.12,,,4.78,,27.5,94,,,,,,41
11145,20066194,BruceGradkowski20066,2006,Bruce Gradkowski,Bruce,Gradkowski,QB,74,6,2,217,,,4.59,,,4.16,,34,107,,6,Toledo,25,194,19
11146,,DarrellHackney2006,2006,Darrell Hackney,Darrell,Hackney,QB,73,6,1,239,,,4.82,,,4.69,,33,110,,,,,,40
11147,2006264,TarvarisJackson20062,2006,Tarvaris Jackson,Tarvaris,Jackson,QB,74,6,2,226,,,4.69,,,4.4,,31.5,107,,2,Alabama State,32,64,19
11148,20065164,OmarJacobs20065,2006,Omar Jacobs,Omar,Jacobs,QB,76,6,4,232,,,4.84,,,4.31,,32.5,108,,5,Bowling Green,31,164,38
11149,2006110,MattLeinart20061,2006,Matt Leinart,Matt,Leinart,QB,77,6,5,223,,,4.9,,,,,,,,1,USC,10,10,35
11150,,TravisLulay2006,2006,Travis Lulay,Travis,Lulay,QB,75,6,3,216,,,4.71,,,4.07,,35,111,,,,,,37
11151,20065148,IngleMartin20065,2006,Ingle Martin,Ingle,Martin,QB,74,6,2,220,,,4.71,,,4.22,,36,111,,5,Furman,15,148,30
11152,20066193,ReggieMcNeal20066,2006,Reggie McNeal,Reggie,McNeal,QB,74,6,2,198,,,4.4,,,4.27,,32,121,,6,Texas A&M,24,193,19
11153,,ErikMeyer2006,2006,Erik Meyer,Erik,Meyer,QB,73,6,1,210,,,4.67,,,4.14,,32.5,112,,,,,,
11154,,BarrickNealy2006,2006,Barrick Nealy,Barrick,Nealy,QB,76,6,4,226,,,4.57,,,4.29,,32.5,114,,,,,,
11155,,DrewOlson2006,2006,Drew Olson,Drew,Olson,QB,74,6,2,222,,,5.09,,,4.44,,23,97,,,,,,
11156,,PaulPinegar2006,2006,Paul Pinegar,Paul,Pinegar,QB,77,6,5,232,,,5.1,,,4.52,,29,110,,,,,,
11157,,QuintonPorter2006,2006,Quinton Porter,Quinton,Porter,QB,77,6,5,233,,,4.67,,,4.1,,33.5,116,,,,,,
11158,20067223,D.J.Shockley20067,2006,D.J. Shockley,D.J.,Shockley,QB,73,6,1,214,,,4.56,,,4.18,,37.5,121,,7,Georgia,15,223,19
11159,20064103,BradSmith20064,2006,Brad Smith,Brad,Smith,QB,74,6,2,213,,,4.46,2.65,1.59,4.33,7.01,39.5,128,,4,Missouri,6,103,24
11160,,KentSmith2006,2006,Kent Smith,Kent,Smith,QB,77,6,5,216,,,4.57,,,4.48,,35,122,,,,,,16
11161,,MarcusVick2006,2006,Marcus Vick,Marcus,Vick,QB,73,6,1,200,,,4.47,,,4.08,,36,117,,,,,,11
11162,2006381,CharlieWhitehurst20063,2006,Charlie Whitehurst,Charlie,Whitehurst,QB,77,6,5,223,,,4.75,,,4.12,,33,112,,3,Clemson,17,81,33
11163,200613,VinceYoung20061,2006,Vince Young,Vince,Young,QB,77,6,5,229,,,4.48,,,,,,,,1,Texas,3,3,15
11164,2006130,JosephAddai20061,2006,Joseph Addai,Joseph,Addai,RB,71,5,11,214,,,4.4,,,4.48,,38.5,125,18,1,LSU,30,30,
11165,,MikeBell2006,2006,Mike Bell,Mike,Bell,RB,73,6,1,221,,,4.6,,,4.24,,31.5,112,19,,,,,
11166,2006374,BrianCalhoun20063,2006,Brian Calhoun,Brian,Calhoun,RB,69,5,9,201,,,4.57,,,4.24,,31.5,124,18,3,Wisconsin,10,74,
11167,20064132,P.J.Daniels20064,2006,P.J. Daniels,P.J.,Daniels,RB,70,5,10,214,,,4.64,,,4.4,,33,116,21,4,Georgia Tech,35,132,
11168,,MauriceDrew2006,2006,Maurice Drew,Maurice,Drew,RB,67,5,7,207,,,4.39,,,4.41,,36,116,18,,,,,
11169,20067246,QuintonGanther20067,2006,Quinton Ganther,Quinton,Ganther,RB,70,5,10,218,,,4.5,,,,,35,119,29,7,Utah,38,246,
11170,20065144,MarquesHagans20065,2006,Marques Hagans,Marques,Hagans,RB,70,5,10,202,,,4.67,,,4.43,,35,114,,5,Virginia,11,144,37
11171,,AndreHall2006,2006,Andre Hall,Andre,Hall,RB,69,5,9,208,,,4.4,,,,,33,113,18,,,,,
11172,20065145,JeromeHarrison20065,2006,Jerome Harrison,Jerome,Harrison,RB,69,5,9,201,,,4.47,,,4.08,,34.5,124,19,5,Washington State,12,145,
11173,,TaureanHenderson2006,2006,Taurean Henderson,Taurean,Henderson,RB,70,5,10,204,,,4.62,,,4.43,,32.5,112,,,,,,
11174,20067240,CedricHumes20067,2006,Cedric Humes,Cedric,Humes,RB,73,6,1,227,,,4.62,,,4.23,,30.5,106,18,7,Virginia Tech,32,240,
11175,20066170,WaliLundy20066,2006,Wali Lundy,Wali,Lundy,RB,71,5,11,214,,,4.48,,,4.37,,35,111,18,6,Virginia,1,170,
11176,,WendellMathis2006,2006,Wendell Mathis,Wendell,Mathis,RB,73,6,1,210,,,4.51,,,4.24,,33,117,20,,,,,
11177,,DonTrellMoore2006,2006,DonTrell Moore,DonTrell,Moore,RB,70,5,10,210,,,4.64,,,4.34,,32,116,18,,,,,
11178,2006379,JeriousNorwood20063,2006,Jerious Norwood,Jerious,Norwood,RB,73,6,1,210,,,4.4,,,4.26,,36.5,122,15,3,Mississippi State,15,79,
11179,,CoryRoss2006,2006,Cory Ross,Cory,Ross,RB,66,5,6,201,,,4.58,,,,,,,15,,,,,
11180,,DerrickRoss2006,2006,Derrick Ross,Derrick,Ross,RB,71,5,11,226,,,4.56,,,4.37,,35,112,20,,,,,
11181,20064117,LeonWashington20064,2006,Leon Washington,Leon,Washington,RB,68,5,8,201,,,4.42,,,4.37,,32.5,105,17,4,Florida State,20,117,
11182,,TerrenceWhitehead2006,2006,Terrence Whitehead,Terrence,Whitehead,RB,70,5,10,209,,,4.69,,,4.29,,30.5,108,,,,,,
11183,2006127,DeAngeloWilliams20061,2006,DeAngelo Williams,DeAngelo,Williams,RB,69,5,9,214,,,4.49,,,,,35.5,,25,1,Memphis,27,27,
11184,20067229,WillieAndrews20067,2006,Willie Andrews,Willie,Andrews,SS,70,5,10,193,,,4.43,,,4.31,,36.5,124,7,7,Baylor,21,229,
11185,20064101,DarnellBing20064,2006,Darnell Bing,Darnell,Bing,SS,74,6,2,227,,,4.52,,,4.07,,34,,17,4,USC,4,101,
11186,2006240,DanielBullocks20062,2006,Daniel Bullocks,Daniel,Bullocks,SS,73,6,1,212,,,4.38,,,4.18,,38,124,18,2,Nebraska,8,40,
11187,,ChrisHarrell2006,2006,Chris Harrell,Chris,Harrell,SS,73,6,1,209,,,4.7,,,4.13,,40.5,119,15,,,,,
11188,,JarvisHerring2006,2006,Jarvis Herring,Jarvis,Herring,SS,71,5,11,207,,,4.85,,,4.3,,36.5,116,15,,,,,
11189,200617,MichaelHuff20061,2006,Michael Huff,Michael,Huff,SS,73,6,1,204,,,4.34,,,,,40.5,125,21,1,Texas,7,7,
11190,20065146,DawanLandry20065,2006,Dawan Landry,Dawan,Landry,SS,73,6,1,220,,,4.64,,,4.28,,37.5,124,18,5,Georgia Tech,13,146,
11191,20064102,CalvinLowry20064,2006,Calvin Lowry,Calvin,Lowry,SS,71,5,11,200,,,4.54,,,4.23,,36,120,15,4,Penn State,5,102,
11192,,VincentMeeks2006,2006,Vincent Meeks,Vincent,Meeks,SS,71,5,11,210,,,4.85,,,,,33,112,11,,,,,
11193,20067228,JarradPage20067,2006,Jarrad Page,Jarrad,Page,SS,73,6,1,239,,,4.63,,,4.14,,38,127,,7,UCLA,20,228,
11194,20065158,CharliePeprah20065,2006,Charlie Peprah,Charlie,Peprah,SS,71,5,11,206,,,4.66,,,4.1,,37.5,119,15,5,Alabama,25,158,
11195,2006254,BernardPollard20062,2006,Bernard Pollard,Bernard,Pollard,SS,74,6,2,224,,,4.57,,,,,36.5,131,,2,Purdue,22,54,
11196,2006397,EricSmith20063,2006,Eric Smith,Eric,Smith,SS,73,6,1,209,,,4.63,,,4.11,,40,127,21,3,Michigan State,33,97,
11197,,ScottWare2006,2006,Scott Ware,Scott,Ware,SS,73,6,1,218,,,4.7,,,4.27,,37,115,15,,,,,
11198,200618,DonteWhitner20061,2006,Donte Whitner,Donte,Whitner,SS,70,5,10,204,,,4.4,,,,,40,132,18,1,Ohio State,8,8,
11199,2006498,OwenDaniels20064,2006,Owen Daniels,Owen,Daniels,TE,76,6,4,253,,,4.65,,,4.11,,34.5,114,23,4,Wisconsin,1,98,
11200,20065167,CharlesDavis20065,2006,Charles Davis,Charles,Davis,TE,78,6,6,263,,,4.87,,,4.37,,31.5,108,27,5,Purdue,34,167,
11201,200616,VernonDavis20061,2006,Vernon Davis,Vernon,Davis,TE,75,6,3,254,,,4.38,,,4.17,,42,128,33,1,Maryland,6,6,
11202,,TimDay2006,2006,Tim Day,Tim,Day,TE,75,6,3,256,,,4.74,,,4.2,,35,109,24,,,,,
11203,2006253,AnthonyFasano20062,2006,Anthony Fasano,Anthony,Fasano,TE,76,6,4,259,,,4.86,,,4.34,,33.5,,19,2,Notre Dame,21,53,
11204,,DanielFells2006,2006,Daniel Fells,Daniel,Fells,TE,76,6,4,259,,,4.95,,,4.52,,29.5,108,19,,,,,
11205,,MattHenshaw2006,2006,Matt Henshaw,Matt,Henshaw,TE,77,6,5,248,,,4.73,,,4.46,,29,111,16,,,,,
11206,20065155,JeffKing20065,2006,Jeff King,Jeff,King,TE,77,6,5,245,,,4.83,,,4.13,,32.5,109,21,5,Virginia Tech,22,155,
11207,2006246,JoeKlopfenstein20062,2006,Joe Klopfenstein,Joe,Klopfenstein,TE,78,6,6,255,,,4.63,,,4.24,,36,112,27,2,Colorado,14,46,
11208,2006128,MarcedesLewis20061,2006,Marcedes Lewis,Marcedes,Lewis,TE,79,6,7,261,,,4.8,,,4.84,,37,118,23,1,UCLA,28,28,
11209,20065150,JasonPociask20065,2006,Jason Pociask,Jason,Pociask,TE,75,6,3,266,,,4.84,,,4.32,,32.5,115,23,5,Wisconsin,17,150,
11210,2006372,LeonardPope20063,2006,Leonard Pope,Leonard,Pope,TE,80,6,8,258,,,4.62,,,4.67,,37.5,118,22,3,Georgia,8,72,
11211,2006261,TonyScheffler20062,2006,Tony Scheffler,Tony,Scheffler,TE,78,6,6,254,,,4.54,,,4.04,,33.5,115,17,2,Western Michigan,29,61,
11212,20065166,QuinnSypniewski20065,2006,Quinn Sypniewski,Quinn,Sypniewski,TE,79,6,7,268,,,4.77,,,4.54,,32.5,114,20,5,Colorado,33,166,
11213,,DavidThomas2006,2006,David Thomas,David,Thomas,TE,75,6,3,252,,,4.67,,,4.35,,37.5,113,19,,,,,
11214,,CooperWallace2006,2006,Cooper Wallace,Cooper,Wallace,TE,76,6,4,261,,,4.78,,,4.22,,29,105,21,,,,,
11215,20066202,T.J.Williams20066,2006,T.J. Williams,T.J.,Williams,TE,75,6,3,269,,,4.72,,,4.58,,34,111,25,6,North Carolina State,33,202,
11216,20067251,DavidAnderson20067,2006,David Anderson,David,Anderson,WR,71,5,11,192,,,4.57,,,4.21,,34,116,,7,Colorado State,43,251,
